Seoul, 15.410000000000025, 42, clear sky
Tokyo, 14.420000000000016, 60, broken clouds
Beijing, 11.939999999999998, 43, few clouds
Singapore, 32.22000000000003, 52, broken clouds
Bangkok, 30.230000000000018, 65, overcast clouds
Mumbai, 32.99000000000001, 55, smoke
Dubai, 33.960000000000036, 24, clear sky
London, 12.620000000000005, 83, light rain
Paris, 11.57000000000005, 92, clear sky
Berlin, 10.520000000000039, 85, clear sky
Madrid, 11.800000000000011, 94, mist
Rome, 10.470000000000027, 89, overcast clouds
New York, 9.390000000000043, 70, overcast clouds
Toronto, 3.930000000000007, 79, few clouds
Mexico City, 10.960000000000036, 58, clear sky
Sao Paulo, 18.620000000000005, 99, thunderstorm with heavy rain
Buenos Aires, 9.480000000000018, 79, overcast clouds
Cairo, 26.420000000000016, 53, clear sky
Lagos, 28.54000000000002, 73, overcast clouds
Sydney, 15.79000000000002, 90, light intensity shower rain
